Labels;index;Kingdom;Phylum;Class;Order;Family;Genus;Species;Groupe
Dolosigranulum;ASV1064;Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Dolosigranulum;pigrum;2
Eikenella;ASV1190;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Neisseriaceae;Eikenella;corrodens;2
58,00 F;ASV442;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Paludibacteraceae;58,00 F;;2
Family: Anaerovoracaceae;ASV139;Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;;;2
Family: Neisseriaceae;ASV1183;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Neisseriaceae;;;2
Family: Veillonellaceae;ASV370;Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;;;2
Filifactor;ASV896;Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Filifactor;alocis;2
Fusobacterium;ASV1062;Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;nucleatum;1
Gemella;ASV100;Bacteria;Firmicutes;Bacilli;Staphylococcales;Gemellaceae;Gemella;morbillorum;1
Granulicatella;ASV1226;Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella;elegans;1
Haemophilus;ASV1014;Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;haemolyticus;1
Johnsonella;ASV1045;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Johnsonella;ignava;2
Kingella;ASV1270;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Neisseriaceae;Kingella;oralis;2
Lachnoanaerobaculum;ASV1304;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoanaerobaculum;cf.;2
Lactobacillus;ASV82;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;;1
Lautropia;ASV1388;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Lautropia;mirabilis;2
Leptotrichia;ASV101;Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;buccalis;2
Megasphaera;ASV1142;Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Megasphaera;micronuciformis;2
Moraxella;ASV331;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella;lincolnii;1
Neisseria;ASV105;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Neisseriaceae;Neisseria;flavescens;1
Order: Absconditabacteriales_(SR1);ASV1084;Bacteria;Patescibacteria;Gracilibacteria;Absconditabacteriales_(SR1);;;;2
